id,所在区,分類,施設名,組織,利用定員_2号_3号,所在地,電話番号,受け入れ開始月齢,卒園年齢,開始時間_標準,終了時間_標準,開始時間_短時間,終了時間_短時間,延長保育_開始時間_朝,延長保育_終了時間_夕,一時預かり_一時保育,園庭開放,備考,URL,利用定員_分園含_2号_3号,入所の可能性０歳児,入所の可能性１歳児,入所の可能性２歳児,入所の可能性３歳児,入所の可能性４歳児,入所の可能性５歳児,申込児童数０歳児,申込児童数１歳児,申込児童数２歳児,申込児童数３歳児,申込児童数４歳児,申込児童数５歳児,合計,公開,x,y
1027,東灘区,保育所,本山保育所,（公立）,142,神戸市東灘区岡本１－７－６,078-451-0567,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,○,,http://www.city.kobe.lg.jp/child/grow/nursery/img/motoyama.pdf,142,○,×,×,×,×,×,,,,,,,,,135.2765739,34.72814206
1028,東灘区,保育所,渦森台保育所,（公立）,63,神戸市東灘区渦森台１－１３－１,078-841-6390,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,18:30,,○,,http://www.city.kobe.lg.jp/child/grow/nursery/img/uzumoridai.pdf,63,○,○,×,×,○,○,,,,,,,,,135.2512656,34.73940125
1029,東灘区,保育所,中野保育所,（公立）,120,神戸市東灘区本山南町１－３－３,078-453-2664,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,○,,http://www.city.kobe.lg.jp/child/grow/nursery/img/nakano.pdf,120,○,×,×,×,○,○,,,,,,,,,135.2886248,34.72385448
1030,東灘区,保育所,瀬戸保育所,（公立）,138,神戸市東灘区魚崎南町６－５－２６,078-453-2663,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,,○,,http://www.city.kobe.lg.jp/child/grow/nursery/img/seto.pdf,138,○,×,○,○,○,○,,,,,,,,,135.2783341,34.71508249
1031,東灘区,保育所,田中保育所,（公立）,100,神戸市東灘区田中町４－１１－２２,078-452-3181,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,,○,,http://www.city.kobe.lg.jp/child/grow/nursery/img/tanaka.pdf,100,○,×,○,×,○,○,,,,,,,,,135.2700122,34.72273567
1032,東灘区,保育所,浜御影保育所,（公立）,90,神戸市東灘区御影本町６－５－７,078-821-9571,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,,○,,http://www.city.kobe.lg.jp/child/grow/nursery/img/hamamikage.pdf,90,○,×,×,×,○,○,,,,,,,,,135.255451,34.7125521
1033,東灘区,保育所,住吉公園保育所,（公立）,120,神戸市東灘区住吉宮町３－４－２３,078-851-3738,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,○,,http://www.city.kobe.lg.jp/child/grow/nursery/img/sumiyoshikouen2.pdf,120,○,×,×,×,×,○,,,,,,,,,135.2612523,34.71625188
1034,東灘区,保育所,ベネッセ本山保育園,（株）,60,神戸市東灘区甲南町１－１－３５,078-412-7170,生後６か月,５歳児クラス,7:30,18:30,8:00,16:00,7:00,20:00,○,○,,http://hoiku.benesse-style-care.co.jp/facilities/motoyama/,60,×,×,×,×,×,×,,,,,,,,,135.2778815,34.72240703
1035,東灘区,保育所,親和保育園,（福）,90,神戸市東灘区住吉本町３－８－１７,078-846-4701,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○,,http://www2.shinwa-n.ed.jp/~shinwa/shinwa/,90,×,×,×,×,×,×,,,,,,,,,135.2585917,34.72463958
1036,東灘区,保育所,岡本ハーベスト保育園,（福）,90,神戸市東灘区岡本１－１１－５,078-413-0415,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,○,,http://www.harvest-school.com/okamoto-hoikuen/,90,×,×,×,×,×,×,,,,,,,,,135.2755616,34.72854022
1037,東灘区,保育所,高羽西岡本保育園,（学）,30,神戸市東灘区西岡本２－２５－４－１０２,078-436-7885,１歳児クラス,３歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,,,http://www.city.kobe.lg.jp/child/grow/shinseido/img/033_050067.pdf,30,,×,×,×,,,,,,,,,,,135.2648173,34.72404405
1038,東灘区,保育所,甲南山手保育園,（福）,80,神戸市東灘区本庄町１－１０－２,078-441-0003,生後６か月,５歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,○,,http://hoiku.konan-yamate.jp/,80,×,×,×,×,×,×,,,,,,,,,135.2940983,34.72795026
1039,東灘区,保育所,御影のどか保育園,（福）,90,神戸市東灘区御影３－２８－１,078-851-6261,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○,,http://www.city.kobe.lg.jp/child/grow/shinseido/img/036_050070.pdf,90,○,○,×,×,○,○,,,,,,,,,135.2461601,34.72227423
1040,東灘区,保育所,住吉むつみ保育園,（福）,90,神戸市東灘区住吉宮町７－２－３５,078-843-6230,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,○,,http://www.city.kobe.lg.jp/child/grow/nursery/img/sumiyoshimutsumi.pdf,99,×,×,×,×,○,○,,,,,,,,,135.2590259,34.71829589
1049,東灘区,保育所,住吉むつみ保育園　分園,（福）,9,神戸市東灘区住吉本町２－３－９,078-843-6232,生後６か月,５歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,,,分園の対象児童は、０歳児です。（１歳児以降は、本園で保育を行います。）。空き状況は本園に記載しています。,http://www.mutsumi-hoikuen.com/001_about/index.html,,,,,,,,,,,,,,,,135.2598016,34.71970743
1041,東灘区,保育所,ABCみかげ保育園,（福）,60,神戸市東灘区御影本町６－１－１５,078-856-5158,生後６か月,５歳児クラス,7:00,18:00,8:30,16:30,7:00,19:00,○,,,http://www.sengaminekai.or.jp/mikage/index.html,60,×,×,×,×,×,×,,,,,,,,,135.2556062,34.7112903
1042,東灘区,保育所,ブルーノの森保育園,（学）,70,神戸市東灘区北青木２－９－２４,078-411-8048,生後６か月,５歳児クラス,7:30,18:30,9:00,17:00,7:00,19:00,○,○,,http://www2.aoitori.ed.jp/~aoitori/blueno//index.html,60,○,×,×,×,○,○,,,,,,,,,135.2824123,34.72071021
1043,東灘区,保育所,神戸住吉保育園,（福）,80,神戸市東灘区住吉宮町６－１－２３,078-858-6080,生後６か月,５歳児クラス,7:00,18:00,8:00,16:00,7:00,19:00,○,○,,,80,○,×,×,×,×,×,,,,,,,,,135.2609008,34.71536113
1044,東灘区,家庭的保育事業,澤田　赤ちゃんホーム,（個人）,5,神戸市東灘区御影石町２－１１－５,,生後７週目,０歳児クラス,,,8:00,16:00,8:00,17:30,,,,,4,○,,,,,,,,,,,,,,135.2524359,34.71256183
1045,東灘区,家庭的保育事業,中村　赤ちゃんホーム,（個人）,4,神戸市東灘区岡本８,,生後７週目,０歳児クラス,,,8:00,16:00,8:00,17:30,,,,,4,○,,,,,,,,,,,,,,135.2704026,34.72876691
1046,東灘区,小規模保育事業,あおい宙　もとやま,（福）,9,神戸市東灘区田中町２－１－１　本山合同宿舎１Ｆ,078-855-5432,満１歳,２歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,,,http://www.aoisora-ufo.com/motoyama.html,9,×,×,×,,,,,,,,,,,,135.2758211,34.72330968
1047,東灘区,小規模保育事業,あすの乳児ルーム,（福）,19,神戸市東灘区本山南町８－６－２６　東神戸センタービル２Ｆ,078-413-6602,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,19:00,,,,http://hyogo-hoiku.jp/category/kobe,19,○,○,○,,,,,,,,,,,,135.2817104,34.72428857
1048,東灘区,小規模保育事業,小規模保育園ハピネスファミリー,（一社）,12,神戸市東灘区向洋町中５－１５　リバーモールウエスト２Ｆ,078-862-3983,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,19:00,○,,,http://hapifami.net/prices/,12,×,×,×,,,,,,,,,,,,135.2682924,34.69062878
1050,東灘区,小規模保育事業,茶屋本庄園,（福）,12,神戸市東灘区本庄町１－８－１３　オルテンシアKOBE１Ｆ,078-413-3336,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,19:00,○,,,http://www.ashiya-chaya.com/publics/index/23/,12,○,×,×,,,,,,,,,,,,135.2951529,34.72736548
1051,東灘区,小規模保育事業,キッズクラブ本山南,（医）,19,神戸市東灘区本山南町８－６－２６　東神戸センタービル２Ｆ,078-411-1060,生後６か月,２歳児クラス,7:30,18:30,8:00,16:00,7:00,19:00,○,,,http://www.city.kobe.lg.jp/child/grow/nursery/img/kidsclubmotoyamaminami.pdf,19,○,○,×,,,,,,,,,,,,135.2816104,34.72418857
1052,東灘区,小規模保育事業,チャイルドハート保育サロン甲南園,（株）,14,神戸市東灘区甲南町３－２－２　ラ・ギャレットビル１Ｆ,078-431-5661,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,,,http://www.city.kobe.lg.jp/child/grow/shinseido/img/050_302026.pdf,14,○,○,○,,,,,,,,,,,,135.2744205,34.72110288
1053,東灘区,小規模保育事業,あおい宙　こうなん,（福）,12,神戸市東灘区甲南町３－３－２７　ロイヤル甲南１Ｆ,078-436-1233,生後６か月,２歳児クラス,7:00,18:00,9:00,17:00,7:00,19:00,○,,,http://www.aoisora-ufo.com/kounan.html,12,×,○,×,,,,,,,,,,,,135.2734647,34.72070252
1054,東灘区,小規模保育事業,RICホープ御影,（株）,19,神戸市東灘区御影中町４－１－３１　サニーハイツ御影１Ｆ,078-262-1860,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,19:30,○,,,http://www.pcare.jp/richope-mikage/,19,○,×,×,,,,,,,,,,,,135.255325,34.71749189
1055,東灘区,小規模保育事業,御影小規模保育ルーム,（学）,19,神戸市東灘区御影２－１５－２７,078-843-2780,生後６か月,２歳児クラス,7:30,18:30,9:00,17:00,7:00,19:00,,,,http://kakemik.jp/room/about/,19,○,×,×,,,,,,,,,,,,135.2512258,34.72293394
1056,東灘区,小規模保育事業,はぴふぁみえるあ  小規模保育園 Lino,（一社）,12,神戸市東灘区向洋町中５－１５　リバーモールウエスト２Ｆ,078-862-5065,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,19:00,○,,,http://hapifami.net/prices/,12,×,×,×,,,,,,,,,,,,135.2681924,34.69052878
1057,東灘区,小規模保育事業,コスモチャイルド保育園神戸東灘園,（株）,19,神戸市東灘区本山中町１-１-１２　チタンビル１Ｆ,078-452-0220,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,,,,http://www.city.kobe.lg.jp/child/grow/shinseido/img/shinki.pdf,19,○,○,×,,,,,,,,,,,,135.2865481,34.72669269
1058,東灘区,小規模保育事業,甲南やまゆり保育園,（医社）,19,神戸市東灘区甲南町３－６－１８　ドゥベル甲南２Ｆ,078-412-0077,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,19:00,○,,,http://www.tsujinoclinic.com/hoikuen.shtml,19,○,○,×,,,,,,,,,,,,135.2723265,34.72137192
1059,東灘区,小規模保育事業,京進のほいくえんHOPPA東灘園,（株）,12,神戸市東灘区田中町５－１－１２　東灘スカイマンション1Ｆ,078-262-1347,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,19:30,○,,,http://hoppa.jp/,12,○,×,○,,,,,,,,,,,,135.2685996,34.72137838
1060,東灘区,小規模保育事業,深江けやきの木小規模保育園,（一社）,15,神戸市東灘区深江北町４-１１-６　ワコーレ深江駅前ハーモニーガーデン１Ｆ,078-436-1525,生後６か月,２歳児クラス,7:30,18:30,8:00,16:00,7:30,19:00,,,,,15,○,×,○,,,,,,,,,,,,135.2908663,34.72393805
1061,東灘区,小規模保育事業,京進のほいくえんHOPPA甲南山手園,（株）,12,神戸市東灘区森南町3-1-7　ダンディライオン東灘　１Ｆ,078-452-0811,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:30,19:30,○,,,http://hoppa.jp/kounanyamate/,12,○,×,×,,,,,,,,,,,,135.2890532,34.72748366
1065,東灘区,小規模保育事業,（仮称） みかげ小規模保育園,（一社）,19,神戸市東灘区御影１－１２－１４,,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,,,,,,,19,○,○,○,,,,,,,,,,,,135.2514754,34.72081395
1062,東灘区,小規模保育事業,（仮称） famille保育園,（一社）,19,神戸市東灘区向洋町中１-１４,,生後６か月,２歳児クラス,7:30,18:30,8:30,16:30,7:00,19:00,○,,,,19,○,○,○,,,,,,,,,,,,135.2705479,34.69115806
1063,東灘区,事業所内保育事業,コープこうべの保育園　どんぐりっこもとやま,（生協）,19,神戸市東灘区田中町２-９-１０　サービス付き高齢者向け住宅　コープは～とらんどハイム本山１Ｆ,078-441-3774,生後４か月,２歳児クラス,7:30,18:30,8:00,16:00,7:30,19:00,,,地域枠12,,19,○,×,×,,,,,,,,,,,,135.2740699,34.72396172
1064,東灘区,事業所内保育事業,キッズルームころねん,（医）,20,神戸市東灘区本山中町４-１-８　宮地病院４Ｆ,078-451-1223,生後６か月,２歳児クラス,7:30,18:30,8:00,16:00,7:00,19:00,○,,地域枠5,,20,○,×,×,,,,,,,,,,,,135.2810202,34.72508147
